id_evento,id_disciplina,nombre
1,96,"Singles, Men (Olympic)"
2,96,"Doubles, Men (Olympic)"
3,96,"Doubles, Mixed (Olympic)"
4,94,"Singles, Men (Olympic)"
5,94,"Doubles, Men (Olympic)"
6,96,"Singles, Handicap, Men (Olympic (non-medal))"
7,96,"Doubles, Handicap, Men (Olympic (non-medal))"
8,41,"Épée, Individual, Men (Olympic)"
9,41,Tennis
10,41,"Doubles, Men (Olympic)"
11,41,"Doubles, Handicap, Mixed (Olympic (non-medal))"
12,41,"Singles, Handicap, Men (Olympic (non-medal))"
13,41,"Doubles, Handicap, Men (Olympic (non-medal))"
14,96,"Singles, Men (Intercalated)"
15,96,"Doubles, Mixed (Intercalated)"
16,96,"Doubles, Men (Intercalated)"
17,96,"Doubles, Covered Courts, Mixed (Olympic)"
18,96,"Singles, Covered Courts, Men (Olympic)"
20,96,"Doubles, Handicap, Mixed (Olympic (non-medal))"
21,96,"Doubles, Covered Courts, Men (Olympic)"
22,96,Polo
23,96,"Polo, Men (Olympic (non-medal))"
24,12,"Singles, Men (Olympic)"
25,96,"Singles, Covered Courts, Women (Olympic)"
26,96,"Singles, Women (Olympic)"
27,96,"Doubles, Women (Olympic)"
28,12,"Doubles, Women (Olympic)"
29,12,"Doubles, Mixed (Olympic)"
30,96,"Singles, Handicap, Women (Olympic (non-medal))"
31,94,"Singles, Women (Olympic)"
32,94,"Doubles, Women (Olympic)"
33,12,"Singles, Women (Olympic)"
34,12,"Doubles, Men (Olympic)"
37,94,"Team, Women (Olympic)"
39,49,"Hockey, Men (Olympic)"
40,49,Tennis
41,49,"Singles, Men (Olympic)"
42,49,"Doubles, Men (Olympic)"
43,10,"100 metres, Men (Olympic)"
44,10,"400 metres, Men (Olympic)"
45,10,"800 metres, Men (Olympic)"
46,10,"110 metres Hurdles, Men (Olympic)"
47,10,"High Jump, Men (Olympic)"
48,10,"Pole Vault, Men (Olympic)"
49,10,"Long Jump, Men (Olympic)"
50,10,"Triple Jump, Men (Olympic)"
51,10,Tennis
52,10,"Singles, Men (Olympic)"
53,10,"Doubles, Men (Olympic)"
54,94,"Team, Men (Olympic)"
55,96,Swimming (Aquatics)
56,96,"100 metres Freestyle, Men (Olympic)"
57,96,"500 metres Freestyle, Men (Olympic)"
58,96,"1,200 metres Freestyle, Men (Olympic)"
59,9,"Architecture, Open (Olympic)"
60,96,Weightlifting
61,96,"Unlimited, Two Hands, Men (Olympic)"
62,96,Wrestling
63,96,"Unlimited Class, Greco-Roman, Men (Olympic)"
64,96,Athletics
65,96,"Pole Vault, Men (Olympic)"
66,96,"Long Jump, Men (Olympic)"
67,96,"Shot Put, Men (Olympic)"
68,60,"Individual, Men (Olympic)"
69,60,"Team, Men (Olympic)"
70,8,"Individual, Men (Olympic)"
71,8,"Individual, Women (Olympic)"
72,8,"Team, Women (Olympic)"
73,8,"Team, Men (Olympic)"
74,8,"Target Archery, 28 metres, Team, Men (Olympic)"
75,8,"Target Archery, 33 metres, Team, Men (Olympic)"
76,8,"Target Archery, 50 metres, Team, Men (Olympic)"
77,8,"Pole Archery, Small Birds, Individual, Men (Olympic)"
78,8,"Pole Archery, Large Birds, Individual, Men (Olympic)"
79,8,"Pole Archery, Small Birds, Team, Men (Olympic)"
80,8,"Pole Archery, Large Birds, Team, Men (Olympic)"
81,8,"Sur La Perche À La Herse, Men (Olympic)"
82,8,"Au Chapelet, 33 metres, Men (Olympic)"
83,8,"Au Chapelet, 50 metres, Men (Olympic)"
84,8,"Au Cordon Doré, 33 metres, Men (Olympic)"
85,8,"Au Cordon Doré, 50 metres, Men (Olympic)"
86,8,"Championnat Du Monde, Men (Olympic)"
87,8,"Target Archery, 28 metres, Individual, Men (Olympic)"
88,8,"Target Archery, 33 metres, Individual, Men (Olympic)"
89,8,"Target Archery, 50 metres, Individual, Men (Olympic)"
90,8,"Continental Style, Men (Olympic)"
91,8,"Double York Round, Men (Olympic)"
92,8,"Sur La Perche À La Pyramide, Men (Olympic)"
93,8,"French Championship, Individual, Men (Olympic (non-medal))"
94,8,"Double National Round, Women (Olympic)"
95,10,"1,500 metres, Men (Olympic)"
96,10,"Marathon, Men (Olympic)"
101,22,"Welterweight, Men (Olympic)"
102,22,"Light-Heavyweight, Men (Olympic)"
103,22,"Featherweight, Men (Olympic)"
104,22,"Light-Welterweight, Men (Olympic)"
105,22,"Flyweight, Men (Olympic)"
106,22,"Lightweight, Men (Olympic)"
107,22,"Heavyweight, Men (Olympic)"
108,22,"Bantamweight, Men (Olympic)"
109,22,"Light-Flyweight, Men (Olympic)"
110,22,"Middleweight, Men (Olympic)"
111,22,"Light-Middleweight, Men (Olympic)"
112,22,"Super-Heavyweight, Men (Olympic)"
113,15,"Softball, Women (Olympic)"
114,14,"Baseball, Men (Olympic)"
116,8,"Team, Mixed (Olympic)"
117,8,"Double Columbia Round, Women (Olympic)"
118,8,"Team Round, Women (Olympic)"
119,8,"Flight Shooting, Women (Olympic (non-medal))"
120,8,"Double American Round, Men (Olympic)"
121,8,"Team Round, Men (Olympic)"
122,8,"Flight Shooting, Men (Olympic (non-medal))"
123,77,"8 metres, Open (Olympic)"
124,77,Tennis
125,77,"Singles, Men (Olympic)"
126,77,"Doubles, Mixed (Olympic)"
127,77,"Doubles, Men (Olympic)"
128,77,"Singles, Covered Courts, Men (Olympic)"
129,77,"Doubles, Covered Courts, Men (Olympic)"
130,9,"Painting, Unknown Event, Open (Olympic)"
131,44,"Individual, Men (Olympic)"
133,44,Tennis
134,44,"Doubles, Men (Olympic)"
135,44,"Team, Men (Olympic)"
137,44,"Singles, Men (Olympic)"
140,44,"Individual, Handicap, Men (Olympic (non-medal))"
141,44,"Doubles, Mixed (Olympic)"
142,44,"Doubles, Handicap, Mixed (Olympic (non-medal))"
143,44,"Doubles, Handicap, Men (Olympic (non-medal))"
144,44,"Singles, Handicap, Men (Olympic (non-medal))"
145,55,"Singles, Men (Olympic)"
147,96,"Long Jump, Handicap, Men (Olympic (non-medal))"
148,96,Golf
149,96,"Individual, Men (Olympic)"
150,16,"Basketball, Men (Olympic)"
151,33,"Road Race, Individual, Men (Olympic)"
152,16,"Basketball, Women (Olympic)"
153,10,"Triple Jump, Women (Olympic)"
154,48,"Handball, Women (Olympic)"
155,11,"Australian Rules Football, Men (Olympic (non-medal))"
156,77,"One Person Dinghy, Open (Olympic)"
157,10,"Decathlon, Men (Olympic)"
158,20,"Four, Men (Olympic)"
159,22,Football (Football)
160,22,"Football, Men (Olympic)"
161,22,Athletics
162,22,"100 yards, Men (Olympic (non-medal))"
163,22,"440 yards, Men (Olympic (non-medal))"
164,22,"100 yards, Handicap, Men (Olympic (non-medal))"
165,22,"220 yards, Handicap, Men (Olympic (non-medal))"
166,22,"440 yards, Handicap, Men (Olympic (non-medal))"
167,26,"Kayak Doubles, 500 metres, Women (Olympic)"
168,26,"Kayak Singles, 500 metres, Women (Olympic)"
169,26,"Kayak Doubles, 500 metres, Men (Olympic)"
170,26,"Kayak Fours, 1,000 metres, Men (Olympic)"
171,26,"Kayak Singles, 500 metres, Men (Olympic)"
172,26,"Kayak Doubles, 1,000 metres, Men (Olympic)"
173,26,"Kayak Singles, 1,000 metres, Men (Olympic)"
174,25,"Kayak Singles, Slalom, Men (Olympic)"
175,26,"Kayak Fours, 500 metres, Women (Olympic)"
176,25,"Kayak Singles, Slalom, Women (Olympic)"
177,24,"Kayak Singles, 10,000 metres, Men (Olympic)"
178,25,"Canadian Singles, Slalom, Men (Olympic)"
179,26,Canoe Marathon (Canoeing)
181,26,"Kayak Relay, 4 × 500 metres, Men (Olympic)"
182,25,"Canadian Doubles, Slalom, Men (Olympic)"
183,26,"Canadian Singles, 1,000 metres, Men (Olympic)"
185,26,"Canadian Doubles, 1,000 metres, Men (Olympic)"
186,26,"Canadian Doubles, 10,000 metres, Men (Olympic)"
189,24,"Kayak Doubles, 10,000 metres, Men (Olympic)"
191,24,"Folding Kayak Singles, 10,000 metres, Men (Olympic)"
192,24,"Folding Kayak Doubles, 10,000 metres, Men (Olympic)"
193,26,"Canadian Singles, 500 metres, Men (Olympic)"
194,26,"Canadian Doubles, 500 metres, Men (Olympic)"
195,79,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)"
197,24,"Canadian Singles, 10,000 metres, Men (Olympic)"
198,74,"Single Sculls, Women (Olympic)"
199,34,"Team Pursuit, 4,000 metres, Men (Olympic)"
200,33,"Road Race, Team, Men (Olympic)"
201,33,"100 kilometres Team Time Trial, Men (Olympic)"
202,69,"Polo, Men (Olympic)"
203,75,"Rugby, Men (Olympic)"
204,74,"Eights, Men (Olympic)"
208,38,"Individual, Open (Olympic)"
209,39,"Individual, Open (Olympic)"
210,39,"Team, Open (Olympic)"
211,98,"Tug-Of-War, Men (Olympic)"
212,58,"Lacrosse, Men (Olympic)"
213,36,"Hacks and Hunter Combined, Open (Olympic)"
214,4,"Springboard, Women (Olympic)"
217,38,"Individual, Men (Olympic)"
218,38,"Team, Men (Olympic)"
221,39,Equestrian Eventing (Equestrian)
222,102,"Winter Pentathlon, Men (Olympic (non-medal))"
226,37,"Four-In-Hand Competition, Open (Olympic)"
228,41,"Sabre, Team, Men (Olympic)"
230,41,"Individual, Men (Olympic)"
231,41,"Team, Men (Olympic)"
232,39,"Long Jump, Open (Olympic)"
234,39,"High Jump, Open (Olympic)"
235,60,Equestrian Eventing (Equestrian)
236,39,Equestrian Driving (Equestrian)
240,20,"Four/Five, Men (Olympic)"
241,41,"Sabre, Individual, Men (Olympic)"
242,34,"20 kilometres, Men (Olympic)"
243,34,"Individual Pursuit, 4,000 metres, Men (Olympic)"
244,34,"Sprint, Men (Olympic)"
245,33,Cycling Track (Cycling)
249,33,"Road Race, Individual, Women (Olympic)"
250,33,Cycling Mountain Bike (Cycling)
252,35,"Cross-Country, Women (Olympic)"
253,34,"Individual Pursuit, Women (Olympic)"
254,34,"Points Race, Women (Olympic)"
255,33,"Individual Time Trial, Women (Olympic)"
259,34,"Sprint, Women (Olympic)"
260,34,"500 metres Time Trial, Women (Olympic)"
261,20,"Two, Women (Olympic)"
262,10,"3,000 metres, Women (Olympic)"
263,82,"3,000 metres, Women (Olympic)"
264,82,"5,000 metres, Women (Olympic)"
265,82,"Team Pursuit (6 laps), Women (Olympic)"
266,34,"Keirin, Women (Olympic)"
267,34,"Team Sprint, Women (Olympic)"
270,34,"1,000 metres Time Trial, Men (Olympic)"
271,34,"Points Race, Men (Olympic)"
272,34,"Madison, Men (Olympic)"
273,34,"50 kilometres, Men (Olympic)"
275,34,"Tandem Sprint, 2,000 metres, Men (Olympic)"
276,34,"Team Pursuit, 1,980 yards, Men (Olympic)"
277,34,"5,000 metres, Men (Olympic)"
278,34,"100 kilometres, Men (Olympic)"
279,33,"Individual Time Trial, Men (Olympic)"
280,34,"¼ mile, Men (Olympic)"
281,34,"½ mile, Men (Olympic)"
282,34,"5 miles, Men (Olympic)"
283,34,"25 miles, Men (Olympic)"
284,34,"½ mile, Handicap, Men (Olympic (non-medal))"
285,35,"Cross-Country, Men (Olympic)"
286,33,"333⅓ metres Time Trial, Men (Olympic)"
288,34,"Team Sprint, Men (Olympic)"
289,34,"⅓ mile, Men (Olympic)"
290,34,"1 mile, Men (Olympic)"
291,34,"2 miles, Men (Olympic)"
292,34,"1 mile, Novice, Men (Olympic (non-medal))"
294,34,"Sprint, Men (Intercalated)"
295,34,"333⅓ metres Time Trial, Men (Intercalated)"
296,34,"5,000 metres, Men (Intercalated)"
299,34,"Keirin, Men (Olympic)"
301,34,"Omnium, Men (Olympic)"
302,34,"25 kilometres, Men (Olympic)"
303,42,"Football, Men (Olympic)"
304,42,Cycling Track (Cycling)
305,42,"Sprint, Men (Olympic)"
306,74,"Single Sculls, Men (Intercalated)"
307,74,"Coxed Pairs (1 kilometre), Men (Intercalated)"
308,74,"Coxed Pairs (1 mile), Men (Intercalated)"
309,74,"Coxed Fours, Men (Intercalated)"
310,74,Cycling Track (Cycling)
311,74,"Sprint, Men (Intercalated)"
312,74,"5,000 metres, Men (Intercalated)"
313,33,"10,000 metres, Men (Olympic)"
315,34,"1 mile, Handicap, Men (Olympic (non-medal))"
316,34,"5 miles, Handicap, Men (Olympic (non-medal))"
317,33,"Road Race, Individual, Men (Intercalated)"
322,33,"12-Hours Race, Men (Olympic)"
323,33,"20 kilometres, Men (Intercalated)"
325,34,"Tandem Sprint, 2,000 metres, Men (Intercalated)"
327,33,Athletics
328,33,"4 × 100 metres Relay, Men (Olympic)"
329,85,"18 kilometres, Men (Olympic)"
330,85,"50 kilometres, Men (Olympic)"
331,41,Cycling Road (Cycling)
332,41,"Road Race, Individual, Men (Olympic)"
333,41,Cycling Track (Cycling)
334,41,"333⅓ metres Time Trial, Men (Olympic)"
335,41,"10,000 metres, Men (Olympic)"
336,41,"100 kilometres, Men (Olympic)"
337,41,"12-Hours Race, Men (Olympic)"
338,49,"Hockey, Women (Olympic)"
339,10,"400 metres, Women (Olympic)"
340,10,"4 × 400 metres Relay, Women (Olympic)"
341,70,"Singles, Men (Olympic)"
342,20,"Two, Men (Olympic)"
344,27,"Cricket, Men (Olympic)"
345,28,"Singles, One Ball, Open (Olympic)"
346,28,"Doubles, Open (Olympic)"
347,28,"Singles, Two Balls, Open (Olympic)"
348,28,"Singles, Two Balls, Handicap, Men (Olympic (non-medal))"
349,44,"Individual, Women (Olympic)"
350,61,"A-Class (Open), Open (Olympic)"
351,75,Tug-Of-War
352,75,"Tug-Of-War, Men (Olympic)"
353,75,Athletics
354,75,"200 metres Hurdles, Men (Olympic)"
355,75,"Discus Throw, Men (Olympic)"
356,98,Athletics
357,98,"Shot Put, Handicap, Men (Olympic (non-medal))"
358,41,"Foil, Individual, Men (Olympic)"
359,61,"B-Class (Under 60 feet), Open (Olympic)"
360,61,"C-Class, Open (Olympic)"
361,70,"Doubles, Men (Olympic)"
362,55,Racquets
363,55,"Doubles, Men (Olympic)"
364,98,Wrestling
365,98,"Heavyweight, Greco-Roman, Men (Olympic)"
366,98,"Heavyweight, Freestyle, Men (Olympic)"
367,22,Tug-Of-War
368,22,"Tug-Of-War, Men (Olympic)"
369,75,"100 metres, Men (Olympic)"
